CRANK    SPINDLE     Ft        Fn       TORQUE 
    53.00      2.38     59.70   -345.19     53.61
    54.00      2.66     59.37   -349.92     54.81
    55.00      2.88     59.07   -354.94     56.03
    56.00      3.18     58.62   -361.50     57.49
    57.00      3.40     58.33   -366.20     58.65
    58.00      3.64     58.01   -371.05     59.83
    59.00      3.92     57.62   -377.06     61.19
    60.00      4.19     57.23   -381.97     62.37
    61.00      4.36     56.89   -386.18     63.39
    62.00      4.59     56.52   -390.80     64.49
    63.00      4.78     56.10   -395.59     65.58
    64.00      4.99     55.64   -400.14     66.63
    65.00      5.24     55.24   -403.69     67.51
    66.00      5.37     54.84   -407.39     68.37
    67.00      5.62     54.30   -411.70     69.32
    68.00      5.79     53.83   -415.29     70.14
    69.00      5.91     53.41   -418.07     70.78
    70.00      6.13     52.93   -421.11     71.46
    71.00      6.29     52.43   -424.11     72.11
    72.00      6.39     51.94   -426.63     72.65
    73.00      6.54     51.40   -429.29     73.20
    74.00      6.68     50.85   -431.75     73.68
    75.00      6.87     50.35   -433.82     74.09
    76.00      7.00     49.87   -435.92     74.46
    77.00      7.11     49.20   -438.17     74.85
    78.00      7.23     48.59   -440.43     75.21
    79.00      7.37     47.85   -442.60     75.53
    80.00      7.51     47.10   -444.68     75.81
    81.00      7.57     46.29   -446.81     76.09
    82.00      7.66     45.74   -448.13     76.21
    83.00      7.77     45.04   -449.79     76.36
    84.00      7.91     44.36   -451.19     76.43
    85.00      8.04     43.68   -452.62     76.48
    86.00      8.10     43.04   -453.79     76.49
    87.00      8.23     42.29   -455.09     76.47
    88.00      8.28     41.56   -456.25     76.43
    89.00      8.38     40.72   -457.29     76.34
    90.00      8.48     39.86   -458.22     76.21
    91.00      8.55     39.14   -458.83     76.00
    92.00      8.62     38.13   -459.54     75.80
    93.00      8.74     37.24   -459.91     75.50
    94.00      8.78     36.49   -460.16     75.18
    95.00      8.90     35.52   -460.32     74.80
    96.00      8.94     34.53   -460.28     74.41
    97.00      9.06     33.30   -460.18     73.96
    98.00      9.13     32.06   -459.72     73.46
    99.00      9.22     31.09   -459.24     72.91
   100.00      9.27     30.14   -458.70     72.35
   101.00      9.32     28.95   -457.84     71.74
   102.00      9.44     27.79   -456.75     71.03
   103.00      9.51     26.81   -455.76     70.34
   104.00      9.51     25.77   -454.65     69.66
   105.00      9.59     24.29   -452.80     68.83
   106.00      9.68     22.87   -450.82     67.96
   107.00      9.73     21.36   -448.58     67.08
   108.00      9.80     20.28   -446.85     66.22
   109.00      9.83     19.09   -444.82     65.33
   110.00      9.89     17.96   -442.80     64.41
   111.00      9.97     16.73   -440.49     63.43
   112.00     10.09     15.58   -438.18     62.41
   113.00     10.12     14.43   -435.75     61.42
   114.00     10.14     13.12   -432.87     60.39
   115.00     10.23     11.76   -429.66     59.25
   116.00     10.26     10.61   -426.87     58.20
   117.00     10.35      9.26   -423.44     57.03
   118.00     10.34      8.19   -420.54     55.98
   119.00     10.38      7.05   -417.35     54.86
   120.00     10.44      5.98   -414.27     53.72
   121.00     10.44      4.99   -411.16     52.62
   122.00     10.51      3.96   -407.92     51.45
   123.00     10.58      2.88   -404.24     50.23
   124.00     10.54      1.85   -400.68     49.11
   125.00     10.64      0.96   -397.45     47.91
   126.00     10.66      0.22   -394.58     46.79
   127.00     10.68     -0.61   -391.22     45.64
   128.00     10.65     -1.46   -387.51     44.48
   129.00     10.62     -2.33   -383.30     43.28
   130.00     10.66     -3.39   -378.03     41.94
   131.00     10.66     -4.06   -374.57     40.79
   132.00     10.66     -4.64   -371.24     39.65
   133.00     10.68     -5.18   -367.93     38.49
   134.00     10.67     -5.69   -364.66     37.38
   135.00     10.60     -6.17   -361.42     36.30
   136.00     10.53     -6.61   -358.22     35.24
   137.00     10.58     -7.02   -355.06     34.09
   138.00     10.53     -7.40   -351.94     33.01
   139.00     10.44     -7.76   -348.86     31.99
   140.00     10.43     -8.09   -345.83     30.91
   141.00     10.32     -8.40   -342.83     29.91
   142.00     10.29     -8.68   -339.86     28.86
   143.00     10.21     -8.96   -336.94     27.85
   144.00     10.05     -9.22   -334.05     26.93
   145.00     10.02     -9.46   -331.20     25.90
   146.00      9.84     -9.71   -328.37     25.01
   147.00      9.81     -9.96   -325.56     24.00
   148.00      9.65    -10.21   -322.76     23.11
   149.00      9.48    -10.47   -319.98     22.24
   150.00      9.41    -10.75   -317.19     21.30
   151.00      9.24    -11.03   -314.39     20.44
   152.00      9.07    -11.32   -311.58     19.61
   153.00      8.90    -11.62   -308.73     18.78
   154.00      8.74    -11.94   -305.85     17.95
   155.00      8.49    -12.26   -302.93     17.21
   156.00      8.35    -12.60   -299.95     16.39
   157.00      8.16    -12.93   -296.92     15.61
   158.00      7.90    -13.28   -293.84     14.90
   159.00      7.66    -13.62   -290.69     14.20
   160.00      7.46    -13.96   -287.46     13.47
   161.00      7.18    -14.31   -284.16     12.80
   162.00      6.96    -14.65   -280.77     12.11
   163.00      6.67    -14.99   -277.28     11.48
   164.00      6.38    -15.33   -273.68     10.86
   165.00      6.07    -15.67   -269.97     10.26
   166.00      5.75    -16.00   -266.13      9.68
   167.00      5.50    -16.33   -262.15      9.07
   168.00      5.18    -16.65   -258.03      8.52
   169.00      4.81    -16.97   -253.76      8.01
   170.00      4.47    -17.28   -249.35      7.50
   171.00      4.17    -17.59   -244.79      6.97
   172.00      3.80    -17.88   -240.08      6.51
   173.00      3.39    -18.17   -235.22      6.08
   174.00      3.01    -18.45   -230.21      5.66
   175.00      2.61    -18.72   -225.06      5.25
   176.00      2.23    -18.99   -219.77      4.86
   177.00      1.82    -19.24   -214.36      4.49
   178.00      1.42    -19.48   -208.81      4.13
   179.00      1.01    -19.72   -203.15      3.80
   180.00      0.59    -19.95   -197.39      3.50
   181.00      0.14    -20.17   -191.53      3.23
   182.00     -0.32    -20.39   -185.59      2.98
   183.00     -0.72    -20.61   -179.57      2.72
   184.00     -1.18    -20.82   -173.51      2.51
   185.00     -1.66    -21.01   -167.41      2.33
   186.00     -2.12    -21.20   -161.30      2.15
   187.00     -2.60    -21.38   -155.18      2.00
   188.00     -3.05    -21.54   -149.09      1.86
   189.00     -3.61    -21.69   -143.03      1.78
   190.00     -4.08    -21.83   -137.03      1.68
   191.00     -4.58    -21.94   -131.10      1.60
   192.00     -5.04    -22.04   -125.27      1.52
   193.00     -5.56    -22.11   -119.54      1.48
   194.00     -6.05    -22.16   -113.93      1.43
   195.00     -6.54    -22.20   -108.45      1.40
   196.00     -7.04    -22.21   -103.12      1.38
   197.00     -7.63    -22.20    -97.94      1.40
   198.00     -8.14    -22.16    -92.92      1.40
   199.00     -8.61    -22.11    -88.06      1.39
   200.00     -9.11    -22.03    -83.38      1.40
   201.00     -9.67    -21.94    -78.86      1.43
   202.00    -10.17    -21.83    -74.49      1.45
   203.00    -10.67    -21.71    -70.29      1.47
   204.00    -11.20    -21.58    -66.25      1.50
   205.00    -11.70    -21.44    -62.35      1.53
   206.00    -12.23    -21.29    -58.60      1.57
   207.00    -12.78    -21.14    -54.99      1.61
   208.00    -13.29    -20.98    -51.52      1.65
   209.00    -13.78    -20.82    -48.17      1.69
   210.00    -14.24    -20.66    -44.96      1.73
   211.00    -14.76    -20.50    -41.87      1.77
   212.00    -15.22    -20.34    -38.90      1.81
   213.00    -15.75    -20.18    -36.05      1.87
   214.00    -16.24    -20.01    -33.31      1.92
   215.00    -16.76    -19.85    -30.69      1.97
   216.00    -17.20    -19.70    -28.18      2.01
   217.00    -17.72    -19.56    -25.76      2.07
   218.00    -18.18    -19.42    -23.43      2.12
   219.00    -18.61    -19.28    -21.20      2.17
   220.00    -19.03    -19.15    -19.05      2.22
   221.00    -19.51    -19.03    -16.98      2.28
   222.00    -19.92    -18.92    -14.99      2.34
   223.00    -20.43    -18.81    -13.08      2.40
   224.00    -20.86    -18.72    -11.23      2.46
   225.00    -21.25    -18.63     -9.45      2.52
   226.00    -21.62    -18.55     -7.75      2.59
   227.00    -22.07    -18.48     -6.12      2.65
   228.00    -22.47    -18.42     -4.56      2.72
   229.00    -22.86    -18.37     -3.07      2.79
   230.00    -23.25    -18.32     -1.65      2.85
   231.00    -23.66    -18.29     -0.30      2.93
   232.00    -23.99    -18.26      0.99      2.99
   233.00    -24.35    -18.23      2.21      3.06
   234.00    -24.70    -18.21      3.35      3.13
   235.00    -25.04    -18.18      4.41      3.19
   236.00    -25.34    -18.15      5.40      3.25
   237.00    -25.67    -18.11      6.31      3.30
   238.00    -25.99    -18.07      7.14      3.35
   239.00    -26.34    -18.02      7.88      3.40
   240.00    -26.65    -17.95      8.53      3.44
   241.00    -26.91    -17.88      9.09      3.46
   242.00    -27.21    -17.78      9.55      3.48
   243.00    -27.49    -17.68      9.93      3.49
   244.00    -27.72    -17.56     10.21      3.50
   245.00    -28.05    -17.43     10.42      3.49
   246.00    -28.24    -17.28     10.54      3.47
   247.00    -28.54    -17.12     10.57      3.45
   248.00    -28.76    -16.95     10.53      3.41
   249.00    -28.99    -16.77     10.43      3.37
   250.00    -29.15    -16.57     10.25      3.31
   251.00    -29.38    -16.37     10.02      3.25
   252.00    -29.58    -16.17      9.74      3.18
   253.00    -29.82    -15.96      9.41      3.11
   254.00    -29.94    -15.75      9.04      3.03
   255.00    -30.15    -15.53      8.63      2.94
   256.00    -30.34    -15.31      8.20      2.85
   257.00    -30.47    -15.10      7.75      2.75
   258.00    -30.63    -14.89      7.29      2.66
   259.00    -30.83    -14.69      6.83      2.56
   260.00    -30.94    -14.49      6.37      2.46
   261.00    -31.10    -14.29      5.90      2.36
   262.00    -31.23    -14.10      5.43      2.26
   263.00    -31.33    -13.91      4.96      2.15
   264.00    -31.46    -13.73      4.49      2.05
   265.00    -31.58    -13.54      4.02      1.94
   266.00    -31.67    -13.35      3.54      1.83
   267.00    -31.83    -13.15      3.06      1.73
   268.00    -31.91    -12.95      2.58      1.61
   269.00    -32.01    -12.75      2.09      1.50
   270.00    -32.10    -12.54      1.61      1.38
   271.00    -32.19    -12.33      1.15      1.26
   272.00    -32.23    -12.11      0.70      1.15
   273.00    -32.34    -11.89      0.27      1.04
   274.00    -32.38    -11.67     -0.13      0.93
   275.00    -32.46    -11.44     -0.50      0.83
   276.00    -32.51    -11.22     -0.84      0.73
   277.00    -32.57    -11.01     -1.11      0.64
   278.00    -32.67    -10.84     -1.32      0.56
   279.00    -32.71    -10.67     -1.52      0.49
   280.00    -32.74    -10.50     -1.74      0.41
   281.00    -32.82    -10.28     -1.90      0.34
   282.00    -32.83    -10.06     -2.06      0.27
   283.00    -32.89     -9.85     -2.17      0.21
   284.00    -32.92     -9.64     -2.25      0.16
   285.00    -32.93     -9.46     -2.28      0.11
   286.00    -32.96     -9.26     -2.27      0.07
   287.00    -32.98     -9.07     -2.21      0.04
   288.00    -33.00     -8.90     -2.13      0.01
   289.00    -33.02     -8.71     -2.01      0.00
   290.00    -33.01     -8.54     -1.87     -0.02
   291.00    -33.03     -8.35     -1.68     -0.02
   292.00    -33.03     -8.18     -1.48     -0.02
   293.00    -33.01     -8.01     -1.30     -0.03
   294.00    -33.03     -7.83     -1.07     -0.02
   295.00    -33.00     -7.65     -0.78      0.00
   296.00    -33.03     -7.49     -0.52      0.01
   297.00    -32.97     -7.31     -0.26      0.02
   298.00    -33.01     -7.10      0.10      0.06
   299.00    -32.95     -6.89      0.46      0.09
   300.00    -32.90     -6.72      0.74      0.11
   301.00    -32.93     -6.52      1.14      0.15
   302.00    -32.86     -6.34      1.51      0.19
   303.00    -32.82     -6.17      1.89      0.24
   304.00    -32.77     -5.96      2.29      0.28
   305.00    -32.72     -5.77      2.71      0.34
   306.00    -32.67     -5.60      3.09      0.38
   307.00    -32.61     -5.41      3.56      0.44
   308.00    -32.55     -5.25      3.97      0.49
   309.00    -32.48     -5.09      4.40      0.55
   310.00    -32.44     -4.90      4.83      0.61
   311.00    -32.28     -4.71      5.30      0.68
   312.00    -32.24     -4.53      5.82      0.75
   313.00    -32.15     -4.34      6.23      0.81
   314.00    -32.05     -4.12      6.75      0.88
   315.00    -31.99     -3.89      7.27      0.96
   316.00    -31.84     -3.66      7.73      1.03
   317.00    -31.72     -3.43      8.16      1.10
   318.00    -31.60     -3.22      8.56      1.16
   319.00    -31.51     -2.98      8.94      1.21
   320.00    -31.37     -2.69      9.27      1.27
   321.00    -31.19     -2.43      9.55      1.31
   322.00    -31.04     -2.15      9.87      1.36
   323.00    -30.89     -1.83     10.08      1.40
   324.00    -30.76     -1.54     10.24      1.43
   325.00    -30.59     -1.22     10.36      1.45
   326.00    -30.37     -0.88     10.40      1.47
   327.00    -30.19     -0.49     10.39      1.48
   328.00    -30.03      0.05     10.22      1.49
   329.00    -29.83      0.47      9.99      1.47
   330.00    -29.58      0.92      9.77      1.47
   331.00    -29.40      1.47      9.31      1.44
   332.00    -29.12      2.07      8.82      1.42
   333.00    -28.92      2.64      8.23      1.38
   334.00    -28.70      3.28      7.50      1.34
   335.00    -28.43      3.98      6.59      1.28
   336.00    -28.11      4.67      5.64      1.23
   337.00    -27.92      5.56      4.35      1.16
   338.00    -27.59      6.37      3.10      1.10
   339.00    -27.29      7.18      1.78      1.03
   340.00    -27.02      8.09      0.18      0.96
   341.00    -26.74      9.03     -1.50      0.89
   342.00    -26.44     10.04     -3.43      0.82
   343.00    -26.13     11.02     -5.31      0.76
   344.00    -25.79     12.13     -7.54      0.69
   345.00    -25.50     13.30     -9.97      0.63
   346.00    -25.10     14.51    -12.60      0.58
   347.00    -24.76     15.57    -14.90      0.56
   348.00    -24.40     16.77    -17.64      0.53
   349.00    -24.07     18.07    -20.71      0.51
   350.00    -23.67     19.19    -23.39      0.53
   351.00    -23.32     20.17    -25.79      0.57
   352.00    -22.96     21.58    -29.32      0.60
   353.00    -22.54     22.95    -32.87      0.65
   354.00    -22.16     24.07    -35.86      0.74
   355.00    -21.76     25.33    -39.30      0.85
   356.00    -21.35     26.64    -42.96      0.97
   357.00    -20.90     27.89    -46.56      1.13
   358.00    -20.49     29.19    -50.36      1.30
   359.00    -20.08     30.32    -53.79      1.51
   360.00    -19.65     31.56    -57.68      1.73
